fiyat,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,banyo_sayisi,ilce,mahalle,kat_orani,metrekare_farki,metrekare_verimliligi,oda_sayisi,salon_sayisi,toplam_oda,isitma_Doğalgaz Sobalı,isitma_Doğalgaz Sobası,isitma_Fancoil Ünitesi,isitma_Isıtma Yok,isitma_Kat Kaloriferi,isitma_Klima,isitma_Kombi,isitma_Kombi Doğalgaz,isitma_Merkezi,isitma_Merkezi (Pay Öl...,isitma_Merkezi (Pay Ölçer),isitma_Merkezi Doğalgaz,isitma_Soba,isitma_VRV,isitma_Yerden Isıtma
10450000.0,120.0,105.0,25.0,3.0,4.0,1.0,7737870.125541125,7790844.731888888,0.75,15.0,0.875,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7599000.0,120.0,100.0,7.5,2.0,5.0,1.0,7391275.374741201,7329622.531011246,0.4,20.0,0.8333333333333334,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4450000.0,120.0,115.0,7.5,1.0,4.0,1.0,7100477.7388724,6668027.937431598,0.25,5.0,0.9583333333333334,3.0,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5750000.0,120.0,115.0,0.0,2.0,4.0,2.0,7100477.7388724,6668027.937431598,0.5,5.0,0.9583333333333334,3.0,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8500000.0,115.0,95.0,25.0,6.0,11.0,1.0,7100477.7388724,6778086.962888079,0.5454545454545454,20.0,0.8260869565217391,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9840000.0,254.0,230.0,0.0,4.0,4.0,3.0,7100477.7388724,6537432.723449955,1.0,24.0,0.905511811023622,6.0,2.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5290000.0,95.0,90.0,13.0,1.0,3.0,1.0,6552912.4655172415,6315679.751334227,0.3333333333333333,5.0,0.9473684210526316,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5250000.0,90.0,80.0,2.0,2.0,4.0,1.0,6552912.4655172415,5835929.519382459,0.5,10.0,0.8888888888888888,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4600000.0,75.0,70.0,7.5,3.0,3.0,1.0,6552912.4655172415,7152988.686440677,1.0,5.0,0.9333333333333332,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8500000.0,90.0,80.0,13.0,2.0,5.0,1.0,7035283.184070797,7050639.552753122,0.4,10.0,0.8888888888888888,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7500000.0,125.0,115.0,0.0,3.0,4.0,1.0,6552912.4655172415,6824394.889513271,0.75,10.0,0.92,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9250000.0,180.0,160.0,18.0,3.0,4.0,3.0,6685180.552083749,6814495.957877626,0.75,20.0,0.8888888888888888,4.0,2.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6400000.0,230.0,200.0,7.5,2.0,3.0,2.0,6549672.972972973,5697529.571613788,0.6666666666666666,30.0,0.8695652173913043,4.0,1.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8500000.0,140.0,125.0,7.5,2.0,5.0,1.0,6749619.859589221,6993111.975401552,0.4,15.0,0.8928571428571429,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6950000.0,125.0,115.0,7.5,9.0,13.0,3.0,5601713.515394913,7152988.686440677,0.6923076923076923,10.0,0.92,2.5,1.0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8900000.0,152.0,142.0,0.0,3.0,6.0,2.0,5827810.746119487,7130940.853585254,0.5,10.0,0.9342105263157896,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10990000.0,135.0,115.0,0.0,5.0,12.0,2.0,6552912.4655172415,7152988.686440677,0.4166666666666667,20.0,0.8518518518518519,4.0,1.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4500000.0,120.0,105.0,25.0,7.0,7.0,1.0,7737870.125541125,6551598.903570432,1.0,15.0,0.875,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7650000.0,100.0,90.0,0.0,1.0,5.0,1.0,6685180.552083749,6814495.957877626,0.2,10.0,0.9,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5950000.0,95.0,70.0,0.0,2.0,5.0,1.0,6365970.14926222,6285315.314334461,0.4,25.0,0.7368421052631579,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5200000.0,100.0,75.0,7.5,3.0,5.0,1.0,6365970.14926222,6285315.314334461,0.6,25.0,0.75,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5250000.0,100.0,85.0,18.0,2.0,3.0,1.0,7351309.076470044,6907145.478417415,0.6666666666666666,15.0,0.85,2.0,1.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9300000.0,125.0,110.0,7.5,3.0,9.0,1.0,7224837.664830718,7058514.165965284,0.3333333333333333,15.0,0.88,3.0,1.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
