fiyat,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle,kat_orani,metrekare_farki,metrekare_verimliligi,oda_sayisi,salon_sayisi,toplam_oda
10450000.0,120.0,105.0,21 Ve Üzeri,3.0,4.0,Kombi Doğalgaz,1.0,Maltepe,Feyzullah,0.75,15.0,0.875,3.0,1.0,4.0
7599000.0,120.0,100.0,5-10,2.0,5.0,Kombi Doğalgaz,1.0,Kartal,Yakacık Çarşı,0.4,20.0,0.8333333333333334,3.0,1.0,4.0
4450000.0,120.0,115.0,5-10,1.0,4.0,Doğalgaz Sobalı,1.0,Başakşehir,Bahçeşehir 2. Kısım,0.25,5.0,0.9583333333333334,3.0,1.0,4.0
5750000.0,120.0,115.0,0 (Yeni),2.0,4.0,Doğalgaz Sobalı,2.0,Başakşehir,Bahçeşehir 2. Kısım,0.5,5.0,0.9583333333333334,3.0,1.0,4.0
8500000.0,115.0,95.0,21 Ve Üzeri,6.0,11.0,Kombi Doğalgaz,1.0,Başakşehir,Başak,0.5454545454545454,20.0,0.8260869565217391,3.0,1.0,4.0
9840000.0,254.0,230.0,0 (Yeni),4.0,4.0,Doğalgaz Sobalı,3.0,Başakşehir,Altınşehir,1.0,24.0,0.905511811023622,6.0,2.0,8.0
5290000.0,95.0,90.0,11-15,1.0,3.0,Kombi Doğalgaz,1.0,Küçükçekmece,İnönü,0.3333333333333333,5.0,0.9473684210526316,2.0,1.0,3.0
5250000.0,90.0,80.0,2,2.0,4.0,Kombi Doğalgaz,1.0,Küçükçekmece,Kanarya,0.5,10.0,0.8888888888888888,2.0,1.0,3.0
4600000.0,75.0,70.0,5-10,3.0,3.0,Kombi Doğalgaz,1.0,Küçükçekmece,Cumhuriyet,1.0,5.0,0.9333333333333332,2.0,1.0,3.0
8500000.0,90.0,80.0,11-15,2.0,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Siyavuşpaşa,0.4,10.0,0.8888888888888888,2.0,1.0,3.0
7500000.0,125.0,115.0,0 (Yeni),3.0,4.0,Kombi Doğalgaz,1.0,Küçükçekmece,Sultan Murat,0.75,10.0,0.92,3.0,1.0,4.0
9250000.0,180.0,160.0,16-20,3.0,4.0,Kombi Doğalgaz,3.0,Gaziosmanpaşa,Şemsipaşa,0.75,20.0,0.8888888888888888,4.0,2.0,6.0
6400000.0,230.0,200.0,5-10,2.0,3.0,Kombi Doğalgaz,2.0,Avcılar,Mustafa Kemal Paşa,0.6666666666666666,30.0,0.8695652173913043,4.0,1.0,5.0
8500000.0,140.0,125.0,5-10,2.0,5.0,Kombi Doğalgaz,1.0,Eyüpsultan,Çırçır,0.4,15.0,0.8928571428571429,3.0,1.0,4.0
6950000.0,125.0,115.0,5-10,9.0,13.0,Merkezi (Pay Ölçer),3.0,Esenyurt,Cumhuriyet,0.6923076923076923,10.0,0.92,2.5,1.0,3.5
8900000.0,152.0,142.0,0 (Yeni),3.0,6.0,Kombi Doğalgaz,2.0,Arnavutköy,Hicret,0.5,10.0,0.9342105263157896,3.0,1.0,4.0
