fiyat,oda_salon,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle
5050000.0,2+1,80.0,1.0,11-15,2.0,4.0,Kombi Doğalgaz,1.0,Bahçelievler,Zafer
15900000.0,3+1,159.0,140.0,11-15,5.0,9.0,Merkezi (Pay Ölçer),2.0,Küçükçekmece,Atakent
3100000.0,2+1,100.0,90.0,5-10,1.0,5.0,Kombi Doğalgaz,1.0,Beylikdüzü,Yakuplu
10450000.0,3+1,120.0,105.0,21 Ve Üzeri,3.0,4.0,Kombi Doğalgaz,1.0,Maltepe,Feyzullah
3100000.0,2+1,100.0,95.0,4,,5.0,Kombi Doğalgaz,1.0,Sultangazi,Esentepe
4100000.0,Stüdyo,48.0,40.0,21 Ve Üzeri,,5.0,Merkezi Doğalgaz,1.0,Ataşehir,İnönü
7599000.0,3+1,120.0,100.0,5-10,2.0,5.0,Kombi Doğalgaz,1.0,Kartal,Yakacık Çarşı
3890000.0,3+1,135.0,130.0,11-15,1.0,4.0,Merkezi Doğalgaz,2.0,Başakşehir,Bahçeşehir 2. Kısım
22750000.0,2+1,100.0,80.0,21 Ve Üzeri,,3.0,Kombi Doğalgaz,1.0,Kadıköy,Suadiye
4450000.0,3+1,120.0,115.0,5-10,1.0,4.0,Doğalgaz Sobalı,1.0,Başakşehir,Bahçeşehir 2. Kısım
5750000.0,3+1,120.0,115.0,0 (Yeni),2.0,4.0,Doğalgaz Sobalı,2.0,Başakşehir,Bahçeşehir 2. Kısım
8500000.0,3+1,115.0,95.0,21 Ve Üzeri,6.0,11.0,Kombi Doğalgaz,1.0,Başakşehir,Başak
9840000.0,6+2,254.0,230.0,0 (Yeni),4.0,4.0,Doğalgaz Sobalı,3.0,Başakşehir,Altınşehir
14000000.0,2+1,85.0,80.0,0 (Yeni),4.0,6.0,Kombi Doğalgaz,2.0,Fatih,Akşemsettin
5290000.0,2+1,95.0,90.0,11-15,1.0,3.0,Kombi Doğalgaz,1.0,Küçükçekmece,İnönü
2800000.0,2+1,95.0,90.0,5-10,,6.0,Kombi Doğalgaz,2.0,Esenyurt,Talatpaşa
5250000.0,2+1,90.0,80.0,2,2.0,4.0,Kombi Doğalgaz,1.0,Küçükçekmece,Kanarya
2900000.0,2+1,100.0,90.0,11-15,1.0,5.0,Kombi Doğalgaz,1.0,Esenyurt,Çınar
4600000.0,2+1,75.0,70.0,5-10,,3.0,Kombi Doğalgaz,1.0,Küçükçekmece,Cumhuriyet
8500000.0,2+1,90.0,80.0,11-15,2.0,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Siyavuşpaşa
7500000.0,3+1,125.0,115.0,0 (Yeni),3.0,4.0,Kombi Doğalgaz,1.0,Küçükçekmece,Sultan Murat
9250000.0,4+2,180.0,160.0,16-20,3.0,4.0,Kombi Doğalgaz,3.0,Gaziosmanpaşa,Şemsipaşa
3750000.0,2+1,110.0,85.0,16-20,,5.0,Kombi Doğalgaz,1.0,Gaziosmanpaşa,Karadeniz
13450000.0,2+1,80.0,60.0,0 (Yeni),3.0,8.0,Kombi Doğalgaz,1.0,Kadıköy,Göztepe
2250000.0,2+1,90.0,85.0,21 Ve Üzeri,4.0,5.0,Kombi Doğalgaz,1.0,Küçükçekmece,Gültepe
3150000.0,1+1,90.0,75.0,5-10,18.0,20.0,Kombi Doğalgaz,2.0,Esenyurt,Mehterçeşme
6400000.0,4+1,230.0,200.0,5-10,2.0,3.0,Kombi Doğalgaz,2.0,Avcılar,Mustafa Kemal Paşa
7498000.0,3+1,155.0,135.0,16-20,8.0,9.0,Kombi Doğalgaz,2.0,Beylikdüzü,Sahil
2880000.0,2+1,65.0,55.0,11-15,,4.0,Kombi Doğalgaz,1.0,Bahçelievler,Zafer
2200000.0,1+1,65.0,55.0,16-20,,4.0,Kombi Doğalgaz,1.0,Bahçelievler,Zafer
8500000.0,3+1,140.0,125.0,5-10,2.0,5.0,Kombi Doğalgaz,1.0,Eyüpsultan,Çırçır
6950000.0,2.5+1,125.0,115.0,5-10,9.0,13.0,Merkezi (Pay Ölçer),3.0,Esenyurt,Cumhuriyet
8900000.0,3+1,152.0,142.0,0 (Yeni),,6.0,Kombi Doğalgaz,2.0,Arnavutköy,Hicret
3750000.0,2+1,100.0,85.0,21 Ve Üzeri,3.0,4.0,Kombi Doğalgaz,1.0,Sultangazi,50. Yıl
1950000.0,2+1,85.0,70.0,5-10,,4.0,Kombi Doğalgaz,2.0,Esenyurt,Akçaburgaz
3850000.0,2+1,130.0,125.0,5-10,2.0,6.0,Kombi Doğalgaz,1.0,Esenyurt,Piri Reis
10990000.0,4+1,135.0,115.0,0 (Yeni),5.0,12.0,Kombi Doğalgaz,2.0,Küçükçekmece,Cumhuriyet
4275000.0,2+1,100.0,80.0,21 Ve Üzeri,3.0,3.0,Kombi Doğalgaz,1.0,Bahçelievler,Fevzi Çakmak
4500000.0,3+1,120.0,105.0,21 Ve Üzeri,7.0,7.0,Kombi Doğalgaz,1.0,Maltepe,Zümrütevler
7650000.0,2+1,100.0,90.0,0 (Yeni),1.0,5.0,Kombi Doğalgaz,1.0,Gaziosmanpaşa,Şemsipaşa
5950000.0,2+1,95.0,70.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa
5200000.0,2+1,100.0,75.0,5-10,3.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa
